"Epic","ID","Rol","Historia","Reglas de negocio","Estado","Trazabilidad","Tests","Notas"
"CLIENTES Y AGENCIAS","HU-069","Gerente","Como gerente o cliente quiero gestionar mis clientes secundarios en una jerarquía","• OwnedClients = relación propietario→secundarios
• ownerType: department_manager|client|admin
• ownedBy apunta al propietario
• Filtrable por active","✅ En producción","OwnedClientsController.getOwnedClients · GET /api/owned-clients","","Estado sugerido — confirmar"
"CLIENTES Y AGENCIAS","HU-070","Cliente","Como cliente quiero crear un cliente secundario (sub-cliente/reseller)","• Hereda ownerType del creador
• Requeridos: firstName, lastName, email
• Deduplicación por companyName","✅ En producción","OwnedClientsController.createOwnedClient · POST /api/owned-clients","","Estado sugerido — confirmar"
"CLIENTES Y AGENCIAS","HU-071","Admin","Como administrador quiero administrar los empleados dentro de una organización cliente","• ClientEmployees vinculados al cliente padre
• Roles permitidos: client, department_manager
• Valida empleado.clientId == padre.id
• toggle-status activa/inactiva
• DELETE = soft-delete","✅ En producción","ClientEmployeesController (CRUD/toggle) · /api/clients/:clientId/employees","tests/unit/controllers/api/ClientEmployeesController.test.js","Verificado con test"
"CLIENTES Y AGENCIAS","HU-072","Sistema","Como sistema quiero distinguir cotizaciones de cliente directo vs agencia","• Quote.clientType: direct vs agency
• Direct: companyClientPtr → Client
• Agency: getClient → AmexingUser (department_manager)
• getAvailableOwners valida cliente válido (compat ambos paths)","✅ En producción","QuoteOwnershipService.getAvailableOwners · Client.getEmployees/getDepartments","","Estado sugerido — confirmar"
"CLIENTES Y AGENCIAS","HU-073","Admin","Como administrador quiero eliminar clientes de forma segura sin perder histórico","• Soft-delete: exists=false (active=false)
• BaseModel.queryActive filtra exists=true
• Preserva createdAt/updatedAt y audit logs","✅ En producción","ClientsController.deactivateClient · DELETE /api/clients/:id","tests/unit/routes/clientsRoutes.test.js","Verificado con test"
"FACTURACIÓN","HU-074","Cliente","Como cliente o agente quiero solicitar la factura de una cotización agendada","• Marca quote.invoiceRequested=true y crea la solicitud
• Solo para cotización agendada
• Liga solicitante (requestedBy) y cotización","✅ En producción","QuoteController.requestInvoice / InvoiceController · POST /api/quotes/:id/request-invoice","tests/integration/api/invoices.test.js","Verificado con test"
"FACTURACIÓN","HU-075","Admin","Como administrador quiero ver y monitorear las solicitudes de factura pendientes","• Listado DataTables (búsqueda por folio, solicitante)
• Detalle con quote/cliente/solicitante/procesador
• Contador de pendientes para badge
• Solo admin/superadmin","✅ En producción","InvoiceController.getPendingInvoices/getInvoiceDetails/getPendingCount · GET /api/invoices · /:id · /pending-count","tests/integration/api/invoices.test.js","Verificado con test"
"FACTURACIÓN","HU-076","Admin","Como administrador quiero procesar o cancelar una solicitud de factura","• Completar requiere status=pending + invoiceNumber; markCompleted y pone quote.invoiceRequested=false
• Cancelar valida pending, markCancelled con motivo y limpia flags","✅ En producción","InvoiceController.completeInvoice/cancelInvoice · PUT /api/invoices/:id/complete · DELETE /api/invoices/:id","tests/integration/invoice-workflow.test.js","Verificado con test"
"FACTURACIÓN","HU-077","Admin","Como administrador quiero subir y descargar los archivos XML/PDF de la factura","• Acepta .xml/.pdf (MIME+extensión)
• Almacena en S3 con fallback GridFS
• Autocompleta la factura cuando están XML+PDF (si pending)
• Descarga vía presigned URL; solo facturas completed","✅ En producción","InvoiceController.uploadInvoiceFile/downloadInvoiceFile · POST /api/invoices/upload-file · GET /api/invoices/download/:id/:fileType","tests/integration/api/invoices.test.js","Verificado con test"
"FACTURACIÓN","HU-078","Usuario","Como usuario quiero gestionar perfiles de facturación multi-país para emitir mis facturas","• CRUD de BillingProfile
• Solo 1 isPrimary por usuario (auto-promueve al borrar el primary)
• México: valida RFC, código postal (5), razón social, régimen, uso CFDI
• Soft-delete
• Solo dueño o admin editan","✅ En producción","BillingProfileController (CRUD/setPrimary) · /api/billing-profiles · BillingProfile.validateExplicitly","tests/integration/api/billing.test.js","Verificado con test"
"FACTURACIÓN","HU-079","Usuario","Como usuario quiero subir y descargar la constancia fiscal y documentos de mi perfil","• Constancia: solo PDF (valida header %PDF-), S3/GridFS, presigned URL 1h
• Documentos adicionales: varios MIME en array con metadata
• Solo dueño o admin","✅ En producción","BillingProfileController.uploadConstancia/downloadConstancia/uploadDocument/removeDocument · /api/billing-profiles/:id/...","tests/integration/api/billing.test.js","Verificado con test"
"FACTURACIÓN","HU-080","Admin","Como administrador quiero consultar los datos de facturación de cualquier cliente para auditoría","• Admin/superadmin/gerente/cliente según alcance
• Si userId es un Client, resuelve al createdBy (gerente)
• Devuelve perfiles + metadata del usuario
• Log de acceso","✅ En producción","BillingProfileController.getByUser / BillingController.getUserBillingInfo · GET /api/billing-profiles/user/:userId","tests/integration/api/billing.test.js","Verificado con test"
"FACTURACIÓN","HU-081","Admin","Como administrador quiero conectar con la API externa de facturación para timbrar CFDI","• Generar/timbrar la factura fiscal (CFDI) automáticamente vía PAC/API externa al completar la solicitud","🔴 No iniciado","(sin implementación en código)","—","Requerimiento del Excel ('Conectar con API de facturación'); hoy el flujo es manual subiendo XML/PDF (ver HU-077)"
"CANCELACIONES","HU-082","Cliente","Como cliente quiero solicitar la cancelación de una cotización para obtener reembolso","• Regla 24h: >24h antes del evento cancela directo; <24h crea solicitud pending para aprobación
• Requiere quoteFolio + reason (obligatorio) + priority (default normal)
• La cotización debe estar agendada
• Log de auditoría","✅ En producción","CancellationRequestsController.createCancellationRequest · POST /api/cancellation-requests","—","Sin test específico — sugerir cobertura"
"CANCELACIONES","HU-083","Admin","Como administrador quiero aprobar o rechazar solicitudes de cancelación en ventanas críticas","• Solo admin/superadmin
• decision approve|reject (normaliza approved/rejected)
• Comentarios obligatorios si rechaza
• refundAmount y cancellationFee opcionales
• active→false tras resolver","✅ En producción","CancellationRequestsController.reviewCancellationRequest · PUT /api/cancellation-requests/:id/review","—","Sin test específico — sugerir cobertura"
"CANCELACIONES","HU-084","Admin","Como administrador quiero listar las solicitudes de cancelación con filtros y un contador de pendientes","• Filtros por status/folio/fecha + paginación (default 25, max 100)
• Devuelve folio, cliente, solicitante, estado, prioridad, horas antes del evento
• Contador de pendientes","✅ En producción","CancellationRequestsController.getCancellationRequests · GET /api/cancellation-requests · /pending/count","—","Sin test específico — sugerir cobertura"
"CANCELACIONES","HU-085","Admin","Como administrador quiero ver el detalle de una solicitud para decidir con contexto","• Devuelve cotización, solicitante, reason, estado, prioridad, horas antes del evento, comentarios, refundAmount, cancellationFee","✅ En producción","CancellationRequestsController.getCancellationRequestById · GET /api/cancellation-requests/:id","—","Sin test específico — sugerir cobertura"
"CANCELACIONES","HU-086","Admin","Como administrador quiero ver el historial de cancelaciones de una cotización","• Busca por folio y devuelve todas las solicitudes (pendientes/aprobadas/rechazadas)","✅ En producción","GET /api/cancellation-requests/quote/:quoteFolio","—","Sin test específico — sugerir cobertura"
"CANCELACIONES","HU-087","Sistema","Como sistema quiero soft-delete y trazabilidad de las solicitudes de cancelación","• Activa (active+exists), resuelta (active=false,exists=true), eliminada (false/false)
• Registra revisor, timestamps, comentarios y montos","✅ En producción","CancellationRequest (modelo, ciclo de vida)","—","Sin test específico — sugerir cobertura"
"PERSONAL Y NÓMINA","HU-088","Admin","Como administrador quiero CRUD de empleados para gestionar al personal","• Roles: employee_amexing, driver, guía, greeter, limpieza, admin
• Soft-delete (exists=false)
• Filtros active/búsqueda + paginación
• Solo Admin/SuperAdmin escriben","✅ En producción","EmployeesController (CRUD) · /api/employees","tests/unit/controllers/api/EmployeesController.test.js","Verificado con test"
"PERSONAL Y NÓMINA","HU-089","Admin","Como administrador quiero gestionar greeters (recepción) vinculados a puntos de interés","• Greeter: name, poi (pointer), price, description, active/exists
• CRUD con DataTables (búsqueda por nombre, filtro por POI)
• Lectura nivel 2+; escritura Admin","✅ En producción","GreeterController (CRUD) · /api/greeter · src/domain/models/Greeter.js","","Estado sugerido — confirmar"
"PERSONAL Y NÓMINA","HU-090","Chofer","Como chofer quiero acceder a mis reservaciones asignadas para verlas y actualizar su estado","• Driver = AmexingUser role=driver
• Ve solo sus reservaciones (filtro driverId)
• Puede actualizar estado del servicio (pending→assigned→en_route→completed/cancelado)
• RBAC: solo sus registros
• Auditoría performedBy/requestedAt","✅ En producción","ReservationController (driver scope) · AmexingUser (roleId)","tests/unit/models/AmexingUser-rbac.test.js","Verificado con test (la hoja pide 'acceso a choferes: actualizar reservaciones')"
"PERSONAL Y NÓMINA","HU-091","Admin","Como administrador quiero desactivar empleados sin perder su histórico","• DELETE → exists=false (soft-delete)
• toggle-status alterna active
• Preserva relaciones con reservaciones/ganancias","✅ En producción","EmployeesController.deactivateEmployee/toggleEmployeeStatus · DELETE /api/employees/:id · PATCH /:id/toggle-status","tests/integration/api/employees.test.js","Verificado con test"
"PERSONAL Y NÓMINA","HU-092","Admin","Como administrador quiero que el acceso a datos de empleados y choferes sea por rol","• AmexingUser RBAC con roleId (Pointer a Role) + role legacy
• Niveles 1-7 (guest→superadmin)
• Middleware requireRoleLevel: empleados nivel 6+, greeter lectura 2+
• organizationId validado","✅ En producción","AmexingUser (RBAC) · jwtMiddleware.requireRoleLevel","tests/unit/models/AmexingUser-rbac.test.js","Verificado con test"
"PERSONAL Y NÓMINA","HU-093","Admin","Como administrador quiero ver las ganancias y comisiones de los conductores por periodo","• Permiso driver view_earnings
• Comisiones ligadas a servicios completados (driverId en asignaciones)
• El dashboard de chofer expone earnings","🟡 En progreso","DriverController · RoleBasedController (permiso view_earnings)","—","Acceso a ganancias existe, pero la API de nómina/pago no está completa"
"PERSONAL Y NÓMINA","HU-094","Admin","Como administrador quiero el tabulador y el histórico de pagos de nómina de los empleados","• Tabulador de precios por empleado de Amexing
• Histórico de pagos visible
• Cálculo de comisiones por servicios + tarifas de conductor","🔴 No iniciado","(sin implementación; referenciado en OAuth scope 'payroll_access')","—","Requerimiento del Excel (Nómina: tabulador + historial de pagos); el modelo PaymentRelation no existe"
"USUARIOS, ROLES Y PERMISOS","HU-095","Superadmin","Como superadmin quiero crear usuarios con cualquier rol para gestionar el acceso al sistema","• Solo superadmin crea usuarios
• email único + firstName/lastName + rol obligatorio
• Contraseña con bcrypt (12 rounds)
• Inactivo por defecto hasta verificación de email","✅ En producción","UserManagementService.createUser / UserManagementController.createUser · POST /api/users","tests/integration/rbac/permission-system.integration.test.js","Verificado con test"
"USUARIOS, ROLES Y PERMISOS","HU-096","Admin","Como administrador quiero listar y filtrar usuarios por rol, departamento y estado","• Admin ve solo su organización/depto; superadmin ve todo
• Filtros: role, active, clientId, departmentId, búsqueda
• Paginación (default 25, max 100)
• Auditado (PCI DSS 10.2.1)","✅ En producción","UserManagementController.getUsers · GET /api/users","tests/integration/rbac/permission-system.integration.test.js","Verificado con test"
"USUARIOS, ROLES Y PERMISOS","HU-097","Superadmin","Como superadmin quiero gestionar la jerarquía de 7 niveles de roles para controlar permisos","• Jerarquía guest(1)→driver(2)→employee(3)→department_manager(4)→client(5)→admin(6)→superadmin(7)
• Nivel alto gestiona al bajo (canManage)
• inheritsFrom hereda permisos
• maxDelegationLevel limita delegación
• isSystemRole para predefinidos","✅ En producción","Role.getSystemRoles/getLevel/isHigherThan/canManage · /api/roles","tests/unit/routes/api/rolesRoutes.test.js","Verificado con test"
"USUARIOS, ROLES Y PERMISOS","HU-098","Superadmin","Como superadmin quiero permisos granulares (resource.action) con condiciones de contexto","• Formato resource.action (ej. bookings.approve)
• Scope: own<department<organization<system
• Condiciones: maxAmount, businessHoursOnly, departmentScope
• Wildcard '*' otorga todo (con evaluación de condiciones)
• isDelegatable","✅ En producción","Permission.create/getSystemPermissions/validateContext","tests/integration/rbac/permission-system.integration.test.js","Verificado con test"
"USUARIOS, ROLES Y PERMISOS","HU-099","Gerente","Como gerente quiero delegar permisos a empleados temporalmente (ej. cobertura de vacaciones)","• Solo roles delegatable
• Valida from≠to, permiso en basePermissions, nivel destino ≤ maxDelegationLevel
• Restricciones: expiración, usageLimit, condiciones
• Estados: active/expired/revoked/suspended
• Audit trail (usageHistory/extensionHistory)","✅ En producción","DelegatedPermission.create/hasPermission/trackUsage · AmexingUser.delegatePermissions","tests/unit/models/AmexingUser-rbac.test.js","Verificado con test"
"USUARIOS, ROLES Y PERMISOS","HU-100","Sistema","Como sistema quiero validar el permiso con contexto antes de ejecutar una acción","• hasPermission(permission, context) valida rol + delegaciones
• Contexto: amount, departmentId, timestamp, organizationId
• validateContext verifica maxAmount, businessHoursOnly (9-18 L-V), departmentScope
• Devuelve {valid, reason}","✅ En producción","AmexingUser.hasPermission · Permission.validateContext · DelegatedPermission.validateContext","tests/integration/rbac/permission-system.integration.test.js","Verificado con test"
"USUARIOS, ROLES Y PERMISOS","HU-101","Admin","Como administrador quiero activar/desactivar usuarios y manejar bloqueo por intentos fallidos","• Soft-delete (active=false, exists=false); reactivación requiere admin+
• recordFailedLogin incrementa intentos; máx 5 (MAX_LOGIN_ATTEMPTS)
• Bloqueo lockedUntil 30 min (ACCOUNT_LOCKOUT_DURATION_MINUTES)
• Login exitoso resetea intentos","✅ En producción","AmexingUser.recordFailedLogin/recordSuccessfulLogin · UserManagementService.deactivateUser/reactivateUser","tests/unit/models/AmexingUser-rbac.test.js","Verificado con test"
"USUARIOS, ROLES Y PERMISOS","HU-102","Sistema","Como sistema quiero que la contraseña cumpla PCI DSS para seguridad","• setPassword valida fortaleza
• minLength 12, mayúsculas, minúsculas, números y especiales (configurable por env)
• Bcrypt 12 rounds (BCRYPT_ROUNDS)
• passwordChangedAt registrado","✅ En producción","AmexingUser.setPassword/validatePasswordStrength","tests/unit/models/AmexingUser-rbac.test.js","Verificado con test"
"USUARIOS, ROLES Y PERMISOS","HU-103","Admin","Como administrador quiero segregar permisos entre organizaciones (Amexing vs clientes)","• organizationId: amexing (interno) vs cliente
• Role.organization: amexing/client/external
• organizationScope: system/client/own
• Usuarios amexing acceso total; usuarios cliente solo su org
• Todas las queries filtran por organizationId","✅ En producción","Role.canAccessOrganization · AmexingUser.canAccessOrganization/getOrganization","tests/integration/rbac/permission-system.integration.test.js","Verificado con test"
"AUDITORÍA Y CUMPLIMIENTO","HU-104","Admin","Como administrador quiero consultar el registro de auditoría con filtros para investigar cambios","• Acceso solo admin/superadmin
• Filtros: userId, username, action, entityType, entityId, rango de fechas
• Paginación (máx 1000, default 50)
• Rate limit 200/15min
• Registros inmutables","✅ En producción","AuditLogController.getAuditLogs/getUserAuditLogs/getEntityAuditLogs · GET /api/audit/logs · /user/:userId · /entity/:entityType/:entityId","—","Sin test específico — sugerir cobertura"
"AUDITORÍA Y CUMPLIMIENTO","HU-105","Superadmin","Como superadmin quiero ver estadísticas y actividad reciente de auditoría para un panorama de cumplimiento","• Totales, usuarios únicos, desglose por acción y por tipo de entidad
• Actividad reciente: últimas 24h, 10 registros
• Acciones: CREATE/READ/UPDATE/DELETE/LOGIN/LOGOUT","✅ En producción","AuditLogController.getStatistics/getRecentActivity · GET /api/audit/statistics","—","Sin test específico — sugerir cobertura"
"AUDITORÍA Y CUMPLIMIENTO","HU-106","Sistema","Como sistema quiero registrar automáticamente los cambios CREATE/UPDATE/DELETE","• Hooks beforeSave/afterSave/beforeDelete registran userId, acción, entityType, entityId y campos modificados
• Contexto desde headers x-audit-*, sessionToken o request.user
• Excluye AuditLog/_Session/_Role/_Installation
• Registrado en Client/Employee/Driver/AmexingUser/Vehicle/Department/Service/Experience","✅ En producción","src/cloud/hooks/auditTrailHooks.js (beforeSave/afterSave/beforeDelete)","—","Sin test específico — sugerir cobertura"
"AUDITORÍA Y CUMPLIMIENTO","HU-107","Admin","Como oficial de cumplimiento quiero registrar el acceso de LECTURA a datos sensibles (PCI DSS 10.2.1)","• Clases auditadas: AmexingUser/Client/Employee/Driver/Payment/Transaction/AuditLog
• logReadAccess (individual) y logBulkReadAccess (listados) implementados manualmente en controladores
• Registra userId, acción READ/READ_BULK, entityType, IP, endpoint, timestamp","✅ En producción","src/application/utils/auditHelper.js (logReadAccess/logBulkReadAccess)","—","Hooks automáticos de READ deshabilitados por límite de Parse; cobertura manual en controladores (User/Client) — extender a Employee/Driver/Payment"
"AUDITORÍA Y CUMPLIMIENTO","HU-108","Admin","Como auditor quiero rastrear el historial completo de correos enviados","• EmailLog: messageId, destinatario, tipo, asunto, contenido, status, sentAt/deliveredAt
• Canales email/push/SMS
• Estados sent/delivered/failed/bounced
• updateStatus por webhook del proveedor
• Masking de email (PCI)
• Queries por destinatario/tipo/estado/metadata","✅ En producción","src/domain/models/EmailLog.js (create/updateStatus/getBy*)","tests/integration/email/emailLog.test.js","Verificado con test"
"AUDITORÍA Y CUMPLIMIENTO","HU-109","Admin","Como oficial de cumplimiento quiero que los registros de auditoría sean inmutables y de acceso restringido","• deactivate()/softDelete() lanzan error en AuditLog (no se modifican ni borran)
• Sin endpoints de edición (solo GET)
• Acceso solo admin/superadmin (JWT + validación de rol)
• Lecturas con useMasterKey","✅ En producción","AuditLog.deactivate/softDelete · auditRoutes.validateAuditAccess · AuditLogHelper.validatePermissions","—","Sin test específico — sugerir cobertura"
"REPORTES Y ANALÍTICA","HU-110","Admin","Como administrador quiero exportar el tarifario en Excel o PDF para compartirlo con clientes","• Secciones: vehículos, traslados, a-disposición, experiencias, tours, greeter
• Formatos Excel/PDF
• Parámetros paymentType (efectivo/transferencia/tarjeta) y currency (MXN/USD)
• Resuelve clientId por rol (admin→query, gerente→user.id, cliente→user.clientId)
• Aplica ExchangeRate/TransferRate/AgencyRate","✅ En producción","TarifarioExportController.exportTarifario / TarifarioExportService.exportSections · GET /api/tarifario/export","—","Estado sugerido — confirmar"
"REPORTES Y ANALÍTICA","HU-111","Cliente","Como cliente quiero exportar el tarifario filtrado para mi empresa","• Acceso restringido al tarifario de su gerente vía clientId
• Mismas secciones/formatos que admin pero con precios de cliente (ClientPrices)","✅ En producción","GET /api/tarifario/export (resuelve user.clientId) · vista client/tarifario-export","—","Estado sugerido — confirmar"
"REPORTES Y ANALÍTICA","HU-112","Admin","Como administrador quiero una vista de reportes que consuma la auditoría por rol","• Vista reports con DataTable (audit-table)
• Consume la API de auditoría (HU-104/105)
• Acceso admin/superadmin/gerente según rol","✅ En producción","AdminController.reports / SuperAdminController.reports · GET /dashboard/{admin,superadmin}/reports","—","Estado sugerido — confirmar"
"REPORTES Y ANALÍTICA","HU-113","Superadmin","Como superadmin quiero analítica del sistema (crecimiento, ingresos, tendencias de reservas)","• getSystemAnalytics devuelve userGrowth/revenueGrowth/bookingTrends/systemPerformance
• Vista analytics
• Acceso solo superadmin","🟡 En progreso","SuperAdminController.analytics/getSystemAnalytics · GET /dashboard/superadmin/analytics","—","La vista existe pero los datos están VACÍOS/placeholder — falta conectar a datos reales"
"REPORTES Y ANALÍTICA","HU-114","Superadmin","Como superadmin quiero estadísticas operativas en el dashboard principal","• getSystemStats: totalUsers, totalClients, totalBookings, totalRevenue, activeDrivers, uptime, dailyActiveUsers, pendingApprovals
• getRecentSystemActivity","🟡 En progreso","SuperAdminController.index/getSystemStats/getRecentSystemActivity · GET /dashboard/superadmin","—","La estructura existe pero los datos son MOCK — falta conectarlos a la BD real"
"NOTIFICACIONES","HU-115","Cliente","Como cliente quiero recibir por correo la confirmación de reserva y de cotización (con PDF)","• sendBookingConfirmation y sendQuoteConfirmation (PDF base64 'Cotizacion-{folio}.pdf')
• Plantilla con variables dinámicas; soporta CC múltiple
• Registra en EmailLog
• Fallback SMTP si MailerSend no disponible","✅ En producción","EmailService.sendBookingConfirmation/sendQuoteConfirmation","tests/integration/email/emailService.test.js","Verificado con test"
"NOTIFICACIONES","HU-116","Usuario","Como usuario quiero recordatorios automáticos de cotización por correo","• sendQuoteReminder con tipos initial/follow_up/final
• Plantillas quote_reminder_*
• Variables: folio, total, fecha de vencimiento, número de recordatorio, URL
• Metadata para auditoría","✅ En producción","EmailService.sendQuoteReminder · TemplateService.render","tests/integration/email/emailService.test.js","Verificado con test (cadencia en HU-006)"
"NOTIFICACIONES","HU-117","Usuario","Como usuario nuevo quiero recibir un correo de bienvenida con acceso al dashboard","• sendWelcomeEmail con plantilla welcome
• Variables: nombre, email, tipo de cuenta, URL dashboard
• En development simula envío sin token","✅ En producción","EmailService.sendWelcomeEmail","tests/integration/email/emailService.test.js","Verificado con test"
"NOTIFICACIONES","HU-118","Usuario","Como usuario quiero restablecer mi contraseña mediante un enlace por correo","• sendPasswordResetEmail con plantilla password_reset
• Enlace válido 1h
• CTA + fallback en texto plano
• Masking de email en logs
• Status sent/failed","✅ En producción","EmailService.sendPasswordResetEmail","tests/integration/email/emailService.test.js","Verificado con test (la hoja pide rediseñar este correo)"
"NOTIFICACIONES","HU-119","Agente","Como agente quiero ver y marcar como leídas mis notificaciones in-app","• GET /api/notifications (lista + unreadCount); PATCH /:id/read y /mark-all-read
• Requiere permiso notifications.read/update
• Rate limit 100/15min","🟡 En progreso","NotificationsController.getNotifications/markAsRead/markAllAsRead · /api/notifications","—","Stub: devuelve lista vacía; falta persistencia en BD (la hoja pide notificación al asignar cotización)"
"NOTIFICACIONES","HU-120","Superadmin","Como superadmin quiero monitorear el uso de email y respetar los límites del proveedor","• getUsageStats: hoy y mes (sent/limit/remaining/percentage, successRate)
• Límites MailerSend: 100/día, 3000/mes
• Solo SuperAdmin","✅ En producción","EmailService.getUsageStats · GET /api/emails/usage","tests/integration/email/emailService.test.js","Verificado con test"
"FORMULARIOS","HU-121","Admin","Como administrador quiero diseñar formularios con interfaz drag-and-drop sin código","• Arrastrar componentes de paleta a canvas
• Reordenar con SortableJS
• Undo/redo (historial hasta 50)
• Validación de ruta de componente (anti path-traversal)
• Ancho de campo en 12 variantes Bootstrap","✅ En producción","public/js/form-builder.js · FormController.saveTemplate · GET /dashboard/admin/forms","—","Sin test — pruebas manuales"
"FORMULARIOS","HU-122","Admin","Como administrador quiero configurar tipos de campo y sus validaciones","• 12+ tipos: text/textarea/email/number/select/checkbox/radio/toggle/datepicker/timepicker/file-upload/phone/location/daterange
• Props: label, placeholder, required, helpText, validation
• Validaciones: minLength/maxLength/pattern/min/max/email","✅ En producción","FormRenderer.renderField/renderComponent · FormTemplate.fields","—","Sin test — pruebas manuales"
"FORMULARIOS","HU-123","Admin","Como administrador quiero guardar y publicar plantillas con versionado y estados","• Versionado automático en cada save
• Estados draft/active/inactive
• Soft-delete (active/exists)
• Rastreo createdBy/lastModifiedBy
• Permisos: admin/superadmin crean/editan; solo superadmin elimina","✅ En producción","FormController.saveTemplate · POST /api/forms/save-template","—","Sin test — pruebas manuales"
"FORMULARIOS","HU-124","Admin","Como administrador quiero previsualizar el formulario antes de publicarlo","• Render dinámico desde JSON por modo create/edit/view
• Modo readonly para vista
• Agrupación por secciones
• Devuelve HTML para el DOM","✅ En producción","FormController.renderForm / FormRenderer.renderForm · GET /api/forms/:id/render · vista form-preview","—","Sin test — pruebas manuales"
"FORMULARIOS","HU-125","Usuario","Como usuario quiero rellenar y enviar formularios con validación cliente y servidor","• Validación server-side por campo (required/minLength/maxLength/pattern/email/rango)
• Mensajes en español
• Requiere autenticación (mixedAuth)
• Validación de campo en tiempo real (validate-field)
• Devuelve submissionId o errores","✅ En producción","FormController.submitForm/validateField · POST /api/forms/:id/submit · /validate-field","—","Sin test — pruebas manuales"
"FORMULARIOS","HU-126","Admin","Como administrador quiero gestionar y exportar los envíos de formulario","• FormSubmission: data, submittedBy, submittedAt, status, confirmationCode
• Soft-delete
• Listado con filtros (fecha/status)
• Export JSON/CSV","✅ En producción","FormController.getSubmissions/deleteSubmission/exportData · GET /api/forms/:id/submissions · /export","—","Export PDF aún pendiente (JSON/CSV funcionan)"
"SITIO PÚBLICO Y LANDING","HU-127","Visitante","Como visitante quiero navegar las páginas públicas informativas para conocer la empresa y servicios","• 5 páginas sin autenticación: home/landing, nosotros, servicios, flota, contacto
• Ruteo bilingüe ES/EN
• Datos: SEO, company data, testimonios
• Rate limit 100/15min","✅ En producción","homeController (index/nosotros/servicios/fleet/contacto) · webRoutes.js","—","Estado sugerido — confirmar"
"SITIO PÚBLICO Y LANDING","HU-128","Visitante","Como prospecto quiero enviar el formulario de contacto para solicitar información","• POST /api/contact: name/email/message requeridos, phone/subject opcionales
• Validación (email, name 2-100, message 10-2000)
• Rate limiter estricto
• Envía email + log de auditoría","✅ En producción","apiController.submitContactForm / ContactFormService.processContactForm · POST /api/contact","—","La hoja pide quitar el campo 'empresa' del formulario (pendiente UI)"
"SITIO PÚBLICO Y LANDING","HU-129","Visitante","Como visitante quiero cambiar el idioma del sitio (ES/EN)","• Idiomas es/en
• Cookie i18next (1 año, secure+httpOnly en prod)
• Ruteo bilingüe (/ es, /en en)
• req.t() en vistas","✅ En producción","webRoutes.js (/set-language/:lang) · homeController","—","La hoja pide insertar el ícono de idiomas (pendiente UI)"
"SITIO PÚBLICO Y LANDING","HU-130","Visitante","Como visitante quiero ver reseñas de TripAdvisor en la landing para dar credibilidad","• homeController.index obtiene top 15 reseñas vía tripAdvisorService.getTopReviews
• Fallback a testimonios por defecto si falla
• Idioma detectado","✅ En producción","homeController.index · tripAdvisorService.getTopReviews · landing.ejs","—","Estado sugerido — confirmar"
"SITIO PÚBLICO Y LANDING","HU-131","Visitante","Como visitante quiero la landing pulida según la nueva identidad de marca","• Ajustes pendientes del Excel: sección 'nuestra historia'
• proporciones de la sección de misión
• centrar transportes/colaboraciones/certificaciones
• tipografía de marca (Myriad/Arpona)
• paleta de colores del login a la nueva identidad","🔴 No iniciado","Vistas: landing.ejs, nosotros.ejs, auth/*.ejs (CSS/contenido)","—","Conjunto de ajustes de diseño UX listados como pendientes en el Excel"
"CONFIGURACIÓN DEL SISTEMA","HU-132","Admin","Como administrador quiero configurar el redondeo a efectivo (múltiplos de $5 MXN)","• Setting key cashRoundingEnabled (categoría pricing)
• get devuelve default true si no existe
• update valida boolean
• Aplicado en pricingHelper","✅ En producción","SettingsController.getCashRoundingSetting/updateCashRoundingSetting · GET/PUT /api/settings/cash-rounding","—","Estado sugerido — confirmar"
"CONFIGURACIÓN DEL SISTEMA","HU-133","Admin","Como administrador quiero la página de ajustes de precios para gestionar tasas y comisiones","• Carga valores actuales de 7 modelos de tarifa (Exchange/Inflation/Agency/Transfer/DriverTour/GuideTransport/Greeter)
• Crea defaults si no existen (inflación 5.25%, agencia 15%, traslado 3%)","🟡 En progreso","AdminController.priceSettings · GET /dashboard/admin/price-settings","—","Vista funcional pero apoyada en defaults; revisar conexión completa"
"CONFIGURACIÓN DEL SISTEMA","HU-134","Admin","Como administrador quiero un almacén de configuración por categoría (key-value)","• Setting: key, value, valueType (string/number/boolean/json), category, displayName, editable
• findByKey/findByCategory con coerción de tipos
• Hoy solo 'pricing' está poblada","🟡 En progreso","SettingsController.getPricingSettings · Setting.js · GET /api/settings/pricing","—","Infraestructura lista; pocas categorías pobladas"
"CONFIGURACIÓN DEL SISTEMA","HU-135","Cliente","Como cliente quiero consultar el estado y versión del sistema","• GET /api/status: {status, timestamp, environment} sin auth
• GET /api/version: {version, parseVersion, nodeVersion, api}","✅ En producción","apiController.getStatus/getVersion · GET /api/status · /api/version","—","Estado sugerido — confirmar"
"CONFIGURACIÓN DEL SISTEMA","HU-136","Admin","Como administrador quiero las páginas de notificaciones, ajustes generales, integraciones y seguridad","• Vistas renderizadas (notifications, settings, integrations, security) pero con estructuras vacías (placeholder), sin lógica de backend","🔴 No iniciado","AdminController.notifications/settings · SuperAdminController.integrations/security","—","Páginas placeholder detectadas en código — sin persistencia"
